date,max_temp,min_temp
2026-07-18,26.6,20.6
2026-07-19,28.4,20.7
2026-07-20,28.5,20.3
2026-07-21,28.9,20.1
2026-07-22,26.6,19.6
2026-07-23,29.2,19.8
2026-07-24,29.5,20.0
2026-07-25,29.5,19.6
